tensor(1.9954e-16),tensor([-1.])
tensor(0.0070),tensor([-0.9922])
tensor(0.0140),tensor([-0.9843])
tensor(0.0210),tensor([-0.9765])
tensor(0.0280),tensor([-0.9686])
tensor(0.0350),tensor([-0.9608])
tensor(0.0420),tensor([-0.9529])
tensor(0.0490),tensor([-0.9451])
tensor(0.0560),tensor([-0.9373])
tensor(0.0630),tensor([-0.9294])
tensor(0.0700),tensor([-0.9216])
tensor(0.0770),tensor([-0.9137])
tensor(0.0840),tensor([-0.9059])
tensor(0.0909),tensor([-0.8980])
tensor(0.0979),tensor([-0.8902])
tensor(0.1049),tensor([-0.8824])
tensor(0.1119),tensor([-0.8745])
tensor(0.1189),tensor([-0.8667])
tensor(0.1259),tensor([-0.8588])
tensor(0.1329),tensor([-0.8510])
tensor(0.1398),tensor([-0.8431])
tensor(0.1468),tensor([-0.8353])
tensor(0.1538),tensor([-0.8275])
tensor(0.1608),tensor([-0.8196])
tensor(0.1677),tensor([-0.8118])
tensor(0.1747),tensor([-0.8039])
tensor(0.1817),tensor([-0.7961])
tensor(0.1886),tensor([-0.7882])
tensor(0.1956),tensor([-0.7804])
tensor(0.2026),tensor([-0.7725])
tensor(0.2095),tensor([-0.7647])
tensor(0.2165),tensor([-0.7569])
tensor(0.2234),tensor([-0.7490])
tensor(0.2303),tensor([-0.7412])
tensor(0.2373),tensor([-0.7333])
tensor(0.2442),tensor([-0.7255])
tensor(0.2512),tensor([-0.7176])
tensor(0.2581),tensor([-0.7098])
tensor(0.2650),tensor([-0.7020])
tensor(0.2719),tensor([-0.6941])
tensor(0.2789),tensor([-0.6863])
tensor(0.2858),tensor([-0.6784])
tensor(0.2927),tensor([-0.6706])
tensor(0.2996),tensor([-0.6627])
tensor(0.3065),tensor([-0.6549])
tensor(0.3134),tensor([-0.6471])
tensor(0.3203),tensor([-0.6392])
tensor(0.3271),tensor([-0.6314])
tensor(0.3340),tensor([-0.6235])
tensor(0.3409),tensor([-0.6157])
tensor(0.3478),tensor([-0.6078])
tensor(0.3546),tensor([-0.6000])
tensor(0.3615),tensor([-0.5922])
tensor(0.3683),tensor([-0.5843])
tensor(0.3752),tensor([-0.5765])
tensor(0.3820),tensor([-0.5686])
tensor(0.3888),tensor([-0.5608])
tensor(0.3957),tensor([-0.5529])
tensor(0.4025),tensor([-0.5451])
tensor(0.4093),tensor([-0.5373])
tensor(0.4161),tensor([-0.5294])
tensor(0.4229),tensor([-0.5216])
tensor(0.4297),tensor([-0.5137])
tensor(0.4364),tensor([-0.5059])
tensor(0.4432),tensor([-0.4980])
tensor(0.4500),tensor([-0.4902])
tensor(0.4567),tensor([-0.4824])
tensor(0.4635),tensor([-0.4745])
tensor(0.4702),tensor([-0.4667])
tensor(0.4769),tensor([-0.4588])
tensor(0.4837),tensor([-0.4510])
tensor(0.4904),tensor([-0.4431])
tensor(0.4971),tensor([-0.4353])
tensor(0.5038),tensor([-0.4275])
tensor(0.5104),tensor([-0.4196])
tensor(0.5171),tensor([-0.4118])
tensor(0.5238),tensor([-0.4039])
tensor(0.5304),tensor([-0.3961])
tensor(0.5370),tensor([-0.3882])
tensor(0.5437),tensor([-0.3804])
tensor(0.5503),tensor([-0.3725])
tensor(0.5569),tensor([-0.3647])
tensor(0.5635),tensor([-0.3569])
tensor(0.5701),tensor([-0.3490])
tensor(0.5766),tensor([-0.3412])
tensor(0.5832),tensor([-0.3333])
tensor(0.5897),tensor([-0.3255])
tensor(0.5962),tensor([-0.3176])
tensor(0.6028),tensor([-0.3098])
tensor(0.6093),tensor([-0.3020])
tensor(0.6157),tensor([-0.2941])
tensor(0.6222),tensor([-0.2863])
tensor(0.6287),tensor([-0.2784])
tensor(0.6351),tensor([-0.2706])
tensor(0.6415),tensor([-0.2627])
tensor(0.6479),tensor([-0.2549])
tensor(0.6543),tensor([-0.2471])
tensor(0.6607),tensor([-0.2392])
tensor(0.6670),tensor([-0.2314])
tensor(0.6734),tensor([-0.2235])
tensor(0.6797),tensor([-0.2157])
tensor(0.6860),tensor([-0.2078])
tensor(0.6923),tensor([-0.2000])
tensor(0.6985),tensor([-0.1922])
tensor(0.7048),tensor([-0.1843])
tensor(0.7110),tensor([-0.1765])
tensor(0.7172),tensor([-0.1686])
tensor(0.7233),tensor([-0.1608])
tensor(0.7295),tensor([-0.1529])
tensor(0.7356),tensor([-0.1451])
tensor(0.7417),tensor([-0.1373])
tensor(0.7478),tensor([-0.1294])
tensor(0.7538),tensor([-0.1216])
tensor(0.7598),tensor([-0.1137])
tensor(0.7658),tensor([-0.1059])
tensor(0.7718),tensor([-0.0980])
tensor(0.7777),tensor([-0.0902])
tensor(0.7836),tensor([-0.0824])
tensor(0.7895),tensor([-0.0745])
tensor(0.7954),tensor([-0.0667])
tensor(0.8012),tensor([-0.0588])
tensor(0.8069),tensor([-0.0510])
tensor(0.8127),tensor([-0.0431])
tensor(0.8182),tensor([-0.0353])
tensor(0.8229),tensor([-0.0275])
tensor(0.8204),tensor([-0.0196])
tensor(0.7637),tensor([-0.0118])
tensor(0.3999),tensor([-0.0039])
tensor(-0.3999),tensor([0.0039])
tensor(-0.7637),tensor([0.0118])
tensor(-0.8204),tensor([0.0196])
tensor(-0.8229),tensor([0.0275])
tensor(-0.8182),tensor([0.0353])
tensor(-0.8127),tensor([0.0431])
tensor(-0.8069),tensor([0.0510])
tensor(-0.8012),tensor([0.0588])
tensor(-0.7954),tensor([0.0667])
tensor(-0.7895),tensor([0.0745])
tensor(-0.7836),tensor([0.0824])
tensor(-0.7777),tensor([0.0902])
tensor(-0.7718),tensor([0.0980])
tensor(-0.7658),tensor([0.1059])
tensor(-0.7598),tensor([0.1137])
tensor(-0.7538),tensor([0.1216])
tensor(-0.7478),tensor([0.1294])
tensor(-0.7417),tensor([0.1373])
tensor(-0.7356),tensor([0.1451])
tensor(-0.7295),tensor([0.1529])
tensor(-0.7233),tensor([0.1608])
tensor(-0.7172),tensor([0.1686])
tensor(-0.7110),tensor([0.1765])
tensor(-0.7048),tensor([0.1843])
tensor(-0.6985),tensor([0.1922])
tensor(-0.6923),tensor([0.2000])
tensor(-0.6860),tensor([0.2078])
tensor(-0.6797),tensor([0.2157])
tensor(-0.6734),tensor([0.2235])
tensor(-0.6670),tensor([0.2314])
tensor(-0.6607),tensor([0.2392])
tensor(-0.6543),tensor([0.2471])
tensor(-0.6479),tensor([0.2549])
tensor(-0.6415),tensor([0.2627])
tensor(-0.6351),tensor([0.2706])
tensor(-0.6287),tensor([0.2784])
tensor(-0.6222),tensor([0.2863])
tensor(-0.6157),tensor([0.2941])
tensor(-0.6093),tensor([0.3020])
tensor(-0.6028),tensor([0.3098])
tensor(-0.5962),tensor([0.3176])
tensor(-0.5897),tensor([0.3255])
tensor(-0.5832),tensor([0.3333])
tensor(-0.5766),tensor([0.3412])
tensor(-0.5701),tensor([0.3490])
tensor(-0.5635),tensor([0.3569])
tensor(-0.5569),tensor([0.3647])
tensor(-0.5503),tensor([0.3725])
tensor(-0.5437),tensor([0.3804])
tensor(-0.5370),tensor([0.3882])
tensor(-0.5304),tensor([0.3961])
tensor(-0.5238),tensor([0.4039])
tensor(-0.5171),tensor([0.4118])
tensor(-0.5104),tensor([0.4196])
tensor(-0.5038),tensor([0.4275])
tensor(-0.4971),tensor([0.4353])
tensor(-0.4904),tensor([0.4431])
tensor(-0.4837),tensor([0.4510])
tensor(-0.4769),tensor([0.4588])
tensor(-0.4702),tensor([0.4667])
tensor(-0.4635),tensor([0.4745])
tensor(-0.4567),tensor([0.4824])
tensor(-0.4500),tensor([0.4902])
tensor(-0.4432),tensor([0.4980])
tensor(-0.4364),tensor([0.5059])
tensor(-0.4297),tensor([0.5137])
tensor(-0.4229),tensor([0.5216])
tensor(-0.4161),tensor([0.5294])
tensor(-0.4093),tensor([0.5373])
tensor(-0.4025),tensor([0.5451])
tensor(-0.3957),tensor([0.5529])
tensor(-0.3888),tensor([0.5608])
tensor(-0.3820),tensor([0.5686])
tensor(-0.3752),tensor([0.5765])
tensor(-0.3683),tensor([0.5843])
tensor(-0.3615),tensor([0.5922])
tensor(-0.3546),tensor([0.6000])
tensor(-0.3478),tensor([0.6078])
tensor(-0.3409),tensor([0.6157])
tensor(-0.3340),tensor([0.6235])
tensor(-0.3271),tensor([0.6314])
tensor(-0.3203),tensor([0.6392])
tensor(-0.3134),tensor([0.6471])
tensor(-0.3065),tensor([0.6549])
tensor(-0.2996),tensor([0.6627])
tensor(-0.2927),tensor([0.6706])
tensor(-0.2858),tensor([0.6784])
tensor(-0.2789),tensor([0.6863])
tensor(-0.2719),tensor([0.6941])
tensor(-0.2650),tensor([0.7020])
tensor(-0.2581),tensor([0.7098])
tensor(-0.2512),tensor([0.7176])
tensor(-0.2442),tensor([0.7255])
tensor(-0.2373),tensor([0.7333])
tensor(-0.2303),tensor([0.7412])
tensor(-0.2234),tensor([0.7490])
tensor(-0.2165),tensor([0.7569])
tensor(-0.2095),tensor([0.7647])
tensor(-0.2026),tensor([0.7725])
tensor(-0.1956),tensor([0.7804])
tensor(-0.1886),tensor([0.7882])
tensor(-0.1817),tensor([0.7961])
tensor(-0.1747),tensor([0.8039])
tensor(-0.1677),tensor([0.8118])
tensor(-0.1608),tensor([0.8196])
tensor(-0.1538),tensor([0.8275])
tensor(-0.1468),tensor([0.8353])
tensor(-0.1398),tensor([0.8431])
tensor(-0.1329),tensor([0.8510])
tensor(-0.1259),tensor([0.8588])
tensor(-0.1189),tensor([0.8667])
tensor(-0.1119),tensor([0.8745])
tensor(-0.1049),tensor([0.8824])
tensor(-0.0979),tensor([0.8902])
tensor(-0.0909),tensor([0.8980])
tensor(-0.0840),tensor([0.9059])
tensor(-0.0770),tensor([0.9137])
tensor(-0.0700),tensor([0.9216])
tensor(-0.0630),tensor([0.9294])
tensor(-0.0560),tensor([0.9373])
tensor(-0.0490),tensor([0.9451])
tensor(-0.0420),tensor([0.9529])
tensor(-0.0350),tensor([0.9608])
tensor(-0.0280),tensor([0.9686])
tensor(-0.0210),tensor([0.9765])
tensor(-0.0140),tensor([0.9843])
tensor(-0.0070),tensor([0.9922])
tensor(1.4821e-16),tensor([1.])
